file_name,test_id,model,temperature,locator,wsd_type,examples,description,batch_size,example_length,synonym_count,include_translation,include_sense_formatting_header,ignore_one_sense_words,max_additional_context_length,price_per_1M,output_cost_pct,nontop_quality,difficulty_quality,time_per_1M_hours,auto_resolved_count,auto_resolved_pct
10001.json,10001,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,0,False,False,True,80,22.72,91.1%,85.82%,88.39%,1.75,28600,33.13%
10002.json,10002,gpt5nano_low,0.0,stanza,v2_grouping,1,short,20,short,0,False,False,True,80,23.15,90.4%,86.07%,89.03%,10.39,28600,33.13%
10003.json,10003,gpt5nano_low,0.0,stanza,v2_grouping,2,short,20,short,0,False,False,True,80,23.08,89.4%,86.42%,88.76%,1.21,28600,33.13%
10004.json,10004,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,medium,0,False,False,True,80,22.65,91.1%,86.01%,88.90%,1.08,28600,33.13%
10005.json,10005,gpt5nano_low,0.0,stanza,v2_grouping,1,short,20,medium,0,False,False,True,80,23.42,90.4%,86.29%,88.98%,1.12,28600,33.13%
10006.json,10006,gpt5nano_low,0.0,stanza,v2_grouping,2,short,20,medium,0,False,False,True,80,23.02,89.1%,86.05%,89.12%,1.09,28600,33.13%
10007.json,10007,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,long,0,False,False,True,80,22.74,91.1%,85.73%,88.70%,1.06,28600,33.13%
10008.json,10008,gpt5nano_low,0.0,stanza,v2_grouping,1,short,20,long,0,False,False,True,80,23.64,90.3%,85.94%,88.95%,1.30,28600,33.13%
10009.json,10009,gpt5nano_low,0.0,stanza,v2_grouping,2,short,20,long,0,False,False,True,80,23.27,88.9%,86.24%,88.73%,1.10,28600,33.13%
10010.json,10010,gpt5nano_low,0.0,stanza,v2_grouping,0,very_short,20,short,0,False,False,True,80,22.81,91.2%,85.77%,88.40%,1.09,28600,33.13%
10011.json,10011,gpt5nano_low,0.0,stanza,v2_grouping,0,medium,20,short,0,False,False,True,80,22.65,90.9%,85.83%,88.37%,1.44,28600,33.13%
10012.json,10012,gpt5nano_low,0.0,stanza,v2_grouping,0,full,20,short,0,False,False,True,80,22.12,90.2%,86.12%,88.57%,1.12,28600,33.13%
10013.json,10013,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,1,False,False,True,80,22.43,90.8%,85.45%,88.07%,1.27,28600,33.13%
10014.json,10014,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,2,False,False,True,80,22.41,90.5%,86.19%,88.61%,1.24,28600,33.13%
10015.json,10015,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,3,False,False,True,80,22.60,90.3%,85.83%,88.26%,1.18,28600,33.13%
10016.json,10016,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,4,False,False,True,80,22.62,90.3%,86.11%,88.44%,1.34,28600,33.13%
10017.json,10017,gpt5nano_low,0.0,stanza,v2_grouping,0,short,20,short,5,False,False,True,80,22.67,90.3%,86.25%,88.73%,1.18,28600,33.13%
